movie_id,imdb_id,title,country,director,genre,festival
1,tt2917506,a story of children and film,United Kingdom,Mark Cousins,other documentary,cannes
10,tt2852460,bends,China,Lau,other fiction,tiff
100,tt0057494,a legend or was it,Japan,Keisuke Kinoshita,other fiction,berlinale
1000,tt0032445,somewhere in the netherlands,Netherlands,Ludwig Berger,other fiction,berlinale
1001,tt3613002,song,United States,Nathaniel Dorsky,experimental fiction,tiff
1002,tt3003858,song from the forest,Germany,Michael Obert,other documentary,idfa
1003,tt2408026,soongavadance of the orchids,Nepal,Subarna Thapa,other fiction,frameline
1004,tt3091254,soul,Taiwan,Chung Monghong,other fiction,tiff
1005,tt2919050,soul food stories,Bulgaria,Tonislav Hristov,other documentary,idfa
1006,tt3392412,sound of torture,Israel,Keren Shayo,other documentary,idfa
1007,tt3142242,south is nothing,France,Fabio Mollo,other fiction,tiff
1008,tt2446726,southcliffe,United Kingdom,Sean Durkin,other fiction,tiff
101,tt2650954,a long and happy life,Russia,Boris Khlebnikov,other fiction,berlinale
1010,tt2447552,spooners,United States,Bryan Horch,other fiction,frameline
1011,tt3123162,spring,United States,Nathaniel Dorsky,experimental fiction,tiff
1012,tt2642662,stab,France,Clment Decaudin,other fiction,berlinale
1014,tt2763624,standing aside watching,Greece,Yorgos Servetas,other fiction,tiff
1015,tt0487048,starfly,Luxembourg,Beryl Koltz,other fiction,clermontferrand
1016,tt2567712,starred up,United Kingdom,David Mackenzie,other fiction,tiff
1017,tt2324918,state 194,United States,Dan Setton,other documentary,berlinale
1018,tt2234032,stay,Canada,Wiebke Von Carolsfeld,other fiction,tiff
1019,tt2649748,stay positive,United States,Robert Carnilius,other fiction,frameline
102,tt0062043,a man vanishes,Japan,Shohei Imamura,other documentary,idfa
1020,tt2652874,stemple pass,United States,James Benning,experimental documentary,berlinale
1021,tt1767323,step by step,Syria,Ossama Mohammed,other fiction,berlinale
1022,tt2668950,stepping on the flying grass,Indonesia,Eugene Panji,other fiction,berlinale
1023,tt2707380,stepsister,United States,Joey Izzo,other fiction,cannes
1024,tt2448114,stigma,United States,Phill Schwartz,other fiction,frameline
1026,tt3102458,story of my death,Spain,Albert Serra,other fiction,tiff
1027,tt3119416,stray dogs,Taiwan,Tsai Mingliang,other fiction,tiff
1028,tt2971994,stream of love,Hungary,Agnes Ss,other documentary,idfa
