movie_id,title,genre,actor_id,runtime,year
tt10183816,Dangerous Lies,Crime Mystery Thriller,nm4729403,96.0,2020
tt10183816,Dangerous Lies,Crime Mystery Thriller,nm0182099,96.0,2020
tt10183816,Dangerous Lies,Crime Mystery Thriller,nm6161516,96.0,2020
tt10183816,Dangerous Lies,Crime Mystery Thriller,nm8725461,96.0,2020
tt10206818,The Voice Of Sin,Crime Drama Thriller,nm1040419,142.0,2020
tt10206818,The Voice Of Sin,Crime Drama Thriller,nm2273252,142.0,2020
tt10206818,The Voice Of Sin,Crime Drama Thriller,nm0559647,142.0,2020
tt10206818,The Voice Of Sin,Crime Drama Thriller,nm1967617,142.0,2020
tt10701926,L.O.R.D: Legend Of Ravaging Dynasties 2,Action Adventure Animation,nm6806246,,2020
tt10701926,L.O.R.D: Legend Of Ravaging Dynasties 2,Action Adventure Animation,nm3263781,,2020
tt10701926,L.O.R.D: Legend Of Ravaging Dynasties 2,Action Adventure Animation,nm5394091,,2020
tt10701926,L.O.R.D: Legend Of Ravaging Dynasties 2,Action Adventure Animation,nm3419723,,2020
tt10701926,L.O.R.D: Legend Of Ravaging Dynasties 2,Action Adventure Animation,nm7467125,,2020
tt10701926,L.O.R.D: Legend Of Ravaging Dynasties 2,Action Adventure Animation,nm7582935,,2020
tt10701926,L.O.R.D: Legend Of Ravaging Dynasties 2,Action Adventure Animation,nm6710967,,2020
tt10701926,L.O.R.D: Legend Of Ravaging Dynasties 2,Action Adventure Animation,nm6710968,,2020
tt10715104,La Mia Banda Suona Il Pop,Comedy,nm0211565,95.0,2020
tt10715104,La Mia Banda Suona Il Pop,Comedy,nm0315767,95.0,2020
tt10715104,La Mia Banda Suona Il Pop,Comedy,nm0278329,95.0,2020
tt10715104,La Mia Banda Suona Il Pop,Comedy,nm0744279,95.0,2020
tt10717738,Anjaam Pathiraa,Crime Mystery Thriller,nm0090283,144.0,2020
tt10717738,Anjaam Pathiraa,Crime Mystery Thriller,nm4737131,144.0,2020
tt10717738,Anjaam Pathiraa,Crime Mystery Thriller,nm9045615,144.0,2020
tt10717738,Anjaam Pathiraa,Crime Mystery Thriller,nm5465692,144.0,2020
tt10719946,Human Animals,Drama Horror Thriller,nm10091630,87.0,2020
tt10719946,Human Animals,Drama Horror Thriller,nm2157390,87.0,2020
tt10719946,Human Animals,Drama Horror Thriller,nm12961776,87.0,2020
tt10719946,Human Animals,Drama Horror Thriller,nm0522184,87.0,2020
tt11306994,Bumper,Action,nm5480560,,2020
tt11322822,Xiao Shan He,Drama,nm7987807,,2020
tt11322822,Xiao Shan He,Drama,nm11150156,,2020
tt11322822,Xiao Shan He,Drama,nm1328476,,2020
tt11322822,Xiao Shan He,Drama,nm1273926,,2020
tt11322822,Xiao Shan He,Drama,nm8631236,,2020
tt11323246,Pass Na Pass,Drama,nm0409779,,2020
tt11323246,Pass Na Pass,Drama,nm7435943,,2020
tt11323246,Pass Na Pass,Drama,nm9281264,,2020
tt11323246,Pass Na Pass,Drama,nm9236053,,2020
tt11890540,90 Minutes Tv Show,Comedy,nm10855542,,2020
tt11890540,90 Minutes Tv Show,Comedy,nm11222633,,2020
tt11892482,All The Moons,Drama Fantasy,nm0881986,102.0,2020
tt11892482,All The Moons,Drama Fantasy,nm7684201,102.0,2020
tt11892482,All The Moons,Drama Fantasy,nm3656487,102.0,2020
tt11892482,All The Moons,Drama Fantasy,nm12584635,102.0,2020
tt11896260,Pionien Aika,Mystery,nm11393008,65.0,2020
tt11896260,Pionien Aika,Mystery,nm11393009,65.0,2020
tt11898944,Halleys Comet,Comedy Drama Romance,nm0586485,92.0,2020
tt11898944,Halleys Comet,Comedy Drama Romance,nm0015253,92.0,2020
tt11898944,Halleys Comet,Comedy Drama Romance,nm2246436,92.0,2020
tt11898944,Halleys Comet,Comedy Drama Romance,nm2708612,92.0,2020
tt11898944,Halleys Comet,Comedy Drama Romance,nm0470385,92.0,2020
tt11898944,Halleys Comet,Comedy Drama Romance,nm14184914,92.0,2020
tt11898944,Halleys Comet,Comedy Drama Romance,nm1450429,92.0,2020
tt11898944,Halleys Comet,Comedy Drama Romance,nm11558428,92.0,2020
tt11902076,In His Words: Jfk The Final Interview,History,nm2467024,70.0,2020
tt11902076,In His Words: Jfk The Final Interview,History,nm11395249,70.0,2020
tt11902076,In His Words: Jfk The Final Interview,History,nm8472086,70.0,2020
tt11902076,In His Words: Jfk The Final Interview,History,nm4090598,70.0,2020
tt11910446,Runner,Action,nm7947940,,2020
tt11910446,Runner,Action,nm10120707,,2020
tt11910446,Runner,Action,nm11086720,,2020
tt11910446,Runner,Action,nm8237393,,2020
tt11912156,David Silva: Made In Gran Canaria,Biography Documentary Sport,nm1915526,58.0,2020
tt11912390,2 States,Comedy Romance,nm10199336,131.0,2020
tt11912390,2 States,Comedy Romance,nm0611481,131.0,2020
tt11912390,2 States,Comedy Romance,nm1066795,131.0,2020
tt11912390,2 States,Comedy Romance,nm10108314,131.0,2020
tt11922740,Mama Jones,Drama,nm0212534,,2020
tt11922740,Mama Jones,Drama,nm11267950,,2020
tt11922740,Mama Jones,Drama,nm11267964,,2020
tt11922740,Mama Jones,Drama,nm11403932,,2020
tt11924840,Nang 3: Loi Hua Cua Cha,Drama Family,nm8680147,109.0,2020
tt11924840,Nang 3: Loi Hua Cua Cha,Drama Family,nm7963857,109.0,2020
tt11924840,Nang 3: Loi Hua Cua Cha,Drama Family,nm10923005,109.0,2020
