show_id,type,title,director,cast,country,release_year,duration,listed_in
s8206,movie,The Battle of Midway,John Ford,Henry Fonda; Jane Darwell,United States,1942,18 min,Classic Movies; Documentaries
s8641,movie,Tunisian Victory,Frank Capra; John Huston; Hugh Stewart; Roy Boulting; Anthony Veiller,Burgess Meredith,United States; United Kingdom,1944,76 min,Classic Movies; Documentaries
s7220,movie,Know Your Enemy - Japan,Frank Capra; Joris Ivens,Walter Huston; Dana Andrews,United States,1945,63 min,Classic Movies; Documentaries
s7295,movie,Let There Be Light,John Huston,Walter Huston,United States,1946,58 min,Classic Movies; Documentaries
s8588,movie,Thunderbolt,William Wyler; John Sturges,James Stewart; Lloyd Bridges,United States,1947,42 min,Classic Movies; Documentaries
s2376,movie,The Blazing Sun,Youssef Chahine,Omar Sharif; Faten Hamama; Zaki Rostom; Farid Shawqy; Abdel-Wareth Asar; Menassa Fahmy; Abdelghany Kamar; Hamdy Gheith; Mohsen Hassanein; Rafeaa El Shal,Egypt,1954,116 min,Classic Movies; Dramas; International Movies
s1700,movie,White Christmas,Michael Curtiz,Bing Crosby; Danny Kaye; Rosemary Clooney; Vera-Ellen; Dean Jagger; Mary Wickes; John Brascia; Anne Whitfield; George Chakiris,United States,1954,120 min,Children & Family Movies; Classic Movies; Comedies
s7840,movie,Rebel Without a Cause,Nicholas Ray,James Dean; Natalie Wood; Sal Mineo; Jim Backus; Ann Doran; Corey Allen; William Hopper; Rochelle Hudson; Dennis Hopper; Edward Platt,United States,1955,111 min,Classic Movies; Dramas
s7955,movie,Scandal in Sorrento,Dino Risi,Vittorio De Sica; Sophia Loren; Lea Padovani; Antonio Cifariello; Tina Pica; Mario Carotenuto; Yoka Berretty; Virgilio Riento; Clara Crispo; Pasquale Misiano,Italy; France,1955,93 min,Classic Movies; Comedies; Independent Movies
s8507,movie,The Sign of Venus,Dino Risi,Sophia Loren; Franca Valeri; Vittorio De Sica; Raf Vallone; Virgilio Riento; Tina Pica; Lina Gennari; Eloisa Cianni; Leopoldo Trieste; Maurizio Arena; Franco Fantasia; Peppino De Filippo; Alberto Sordi,Italy,1955,97 min,Classic Movies; Comedies; Independent Movies
s2370,movie,Dark Waters,Youssef Chahine,Faten Hamama; Omar Sharif; Ahmed Ramzy; Hussein Riad; Ferdoos Mohammed; Aziza Helmy; Tawfik El Deken,Egypt,1956,104 min,Classic Movies; Dramas; International Movies
s6785,movie,Forbidden Planet,Fred M. Wilcox,Leslie Nielsen; Walter Pidgeon; Anne Francis; Jack Kelly; Warren Stevens; James Drury; Earl Holliman,United States,1956,98 min,Action & Adventure; Classic Movies; Sci-Fi & Fantasy
s2369,movie,Cairo Station,Youssef Chahine,Farid Shawqy; Hind Rostom; Youssef Chahine; Hassan el Baroudi; Abdel Aziz Khalil; Naima Wasfy; Said Khalil; Abdel Ghani Nagdi,Egypt,1958,73 min,Classic Movies; Dramas; International Movies
s6432,movie,Cat on a Hot Tin Roof,Richard Brooks,Elizabeth Taylor; Paul Newman; Burl Ives; Jack Carson; Judith Anderson; Madeleine Sherwood; Larry Gates; Vaughn Taylor,United States,1958,108 min,Classic Movies; Dramas
s6854,movie,Gigi,Vincente Minnelli; Charles Walters,Leslie Caron; Maurice Chevalier; Louis Jourdan; Hermione Gingold; Eva Gabor; Jacques Bergerac; Isabel Jeans; John Abbott; Edwin Jerome; Corinne Marchand,United States,1958,115 min,Classic Movies; Comedies; Music & Musicals
s543,movie,Ujala,Naresh Saigal,Mala Sinha; Shammi Kapoor; Raaj Kumar; Leela Chitnis; Dhumal; Kumkum,India,1959,143 min,Dramas; International Movies
s6396,movie,Butterfield 8,Daniel Mann,Elizabeth Taylor; Laurence Harvey; Eddie Fisher; Dina Merrill; Mildred Dunnock; Betty Field; Jeffrey Lynn; Susan Oliver,United States,1960,108 min,Classic Movies; Dramas; Romantic Movies
s7134,movie,Jis Desh Men Ganga Behti Hai,Radhu Karmakar,Raj Kapoor; Padmini; Pran; Chanchal; Lalita Pawar; Raj Mehra; Tiwari; Nana Palsikar; Nayampally; Sulochana Chatterjee,Unknown,1960,181 min,Action & Adventure; Dramas; International Movies
s7638,movie,Ocean's Eleven,Lewis Milestone,Frank Sinatra; Dean Martin; Sammy Davis Jr.; Peter Lawford; Angie Dickinson; Richard Conte; Cesar Romero; Patrice Wymore; Joey Bishop,United States,1960,127 min,Action & Adventure; Classic Movies; Comedies
s5221,movie,Singapore,Shakti Samanta,Shammi Kapoor; Padmini; Maria Menado; Shashikala; Agha; K.N. Singh; Madan Puri; Helen,India; Malaysia,1960,158 min,Comedies; Dramas; International Movies
s178,movie,The Guns of Navarone,J. Lee Thompson,Gregory Peck; David Niven; Anthony Quinn; Stanley Baker; Anthony Quayle; James Darren; Irene Papas; Gia Scala; James Robertson Justice; Richard Harris,United Kingdom; United States,1961,156 min,Action & Adventure; Classic Movies
s7333,movie,Lolita,Stanley Kubrick,James Mason; Shelley Winters; Peter Sellers; Sue Lyon; Gary Cockrell; Jerry Stovin; Diana Decker; Lois Maxwell; Cec Linder,United Kingdom; United States,1962,153 min,Classic Movies; Dramas; Romantic Movies
s7531,movie,Mutiny on the Bounty,Lewis Milestone; Carol Reed,Marlon Brando; Trevor Howard; Richard Harris; Hugh Griffith; Richard Haydn; Tarita,United States,1962,185 min,Action & Adventure; Classic Movies; Dramas
s5401,movie,Professor,Lekh Tandon,Shammi Kapoor; Kalpana; Lalita Pawar; Parveen Choudhary; Salim; Pratima Devi; Rashid Khan; Bir Sakuja; Bela Bose; Ratnamala,India,1962,163 min,Comedies; Dramas; International Movies
s2374,movie,Saladin,Youssef Chahine,Ahmad Mazhar; Salah Zo El Faqqar; Nadia Lotfi; Hamdy Gheith; Laila Fawzy; Omar El-Hariri; Laila Taher; Hussein Riad; Mahmoud El Meleigy; Zaki Tolaimat,Egypt,1963,194 min,Action & Adventure; Classic Movies; Dramas
s1127,movie,My Fair Lady,George Cukor,Audrey Hepburn; Rex Harrison; Stanley Holloway; Wilfred Hyde-White; Gladys Cooper; Jeremy Brett; Theodore Bikel; Mona Washbourne; Isobel Elsom; John Holland; Alan Napier; Marni Nixon,United States,1964,173 min,Classic Movies; Music & Musicals
s7933,movie,Sangam,Raj Kapoor,Raj Kapoor; Vyjayanthimala; Rajendra Kumar; Lalita Pawar; Achala Sachdev; Hari Shivdasani; Raj Mehra; Iftekhar,India,1964,228 min,Classic Movies; Dramas; International Movies
s6620,movie,Doctor Zhivago,David Lean,Omar Sharif; Julie Christie; Geraldine Chaplin; Rod Steiger; Alec Guinness; Tom Courtenay; Siobhan McKenna; Ralph Richardson; Jeffrey Rockland,United States; Italy; United Kingdom; Liechtenstein,1965,200 min,Classic Movies; Dramas; Romantic Movies
s8250,movie,The Cincinnati Kid,Norman Jewison,Steve McQueen; Edward G. Robinson; Ann-Margret; Karl Malden; Tuesday Weld; Joan Blondell; Rip Torn; Jack Weston; Cab Calloway; Jeff Corey; Theo Marcuse,United States,1965,103 min,Classic Movies; Dramas
s5392,movie,Amrapali,Lekh Tandon,Vyjayantimala; Sunil Dutt; Prem Nath; Bipin Gupta; Gajanan Jagirdar; Zul Vellani; K.N. Singh; Randhir,India,1966,116 min,Dramas; International Movies; Music & Musicals
s6359,movie,Bonnie and Clyde,Arthur Penn,Warren Beatty; Faye Dunaway; Michael J. Pollard; Gene Hackman; Estelle Parsons; Denver Pyle; Dub Taylor; Evans Evans; Gene Wilder,United States,1967,111 min,Action & Adventure; Classic Movies; Dramas
